x,y,z,PIR,time
15844,-1032,-3836,0,2019-06-04 14:04:55.105970
18260,-740,-2356,0,2019-06-04 14:04:55.209769
15964,-1024,-880,0,2019-06-04 14:04:55.313549
17728,-1052,-40,0,2019-06-04 14:04:55.417312
15884,-1032,-880,0,2019-06-04 14:04:55.521001
15208,-1996,424,0,2019-06-04 14:04:55.624701
17016,-676,636,0,2019-06-04 14:04:55.728435
17240,-1364,1216,0,2019-06-04 14:04:55.832244
15504,-1428,84,0,2019-06-04 14:04:55.936057
18172,-912,-1260,0,2019-06-04 14:04:56.039680
16728,-1000,-668,0,2019-06-04 14:04:56.143380
15632,-1520,-180,0,2019-06-04 14:04:56.247123
17736,-1492,880,0,2019-06-04 14:04:56.350885
14888,-1888,-2096,0,2019-06-04 14:04:56.454559
16916,-1292,704,0,2019-06-04 14:04:56.558237
15164,-1220,1100,0,2019-06-04 14:04:56.662116
18496,-1224,-3996,0,2019-06-04 14:04:56.765890
21212,-600,848,0,2019-06-04 14:04:56.869764
17184,-104,956,0,2019-06-04 14:04:56.973450
16780,624,-1456,0,2019-06-04 14:04:57.077221
17176,-92,-1508,0,2019-06-04 14:04:57.180970
14912,-452,-188,0,2019-06-04 14:04:57.284705
15320,-536,208,0,2019-06-04 14:04:57.388492
16720,52,1076,0,2019-06-04 14:04:57.492242
15600,-132,-192,0,2019-06-04 14:04:57.596073
15804,488,116,0,2019-06-04 14:04:57.699912
14600,-36,1796,0,2019-06-04 14:04:57.803639
18080,1188,-400,0,2019-06-04 14:04:57.907694
17104,72,2336,0,2019-06-04 14:04:58.011438
15856,-492,912,0,2019-06-04 14:04:58.115336
18504,304,1080,0,2019-06-04 14:04:58.219057
14992,472,648,0,2019-06-04 14:04:58.322950
17760,284,2536,0,2019-06-04 14:04:58.426682
17252,12,1456,0,2019-06-04 14:04:58.530298
17860,332,1432,0,2019-06-04 14:04:58.633986
14532,336,752,0,2019-06-04 14:04:58.737698
16760,424,1496,0,2019-06-04 14:04:58.841465
16460,352,992,0,2019-06-04 14:04:58.945104
16908,740,960,0,2019-06-04 14:04:59.050184
18536,520,1392,0,2019-06-04 14:04:59.153836
15296,-160,2636,0,2019-06-04 14:04:59.258631
16412,120,2548,0,2019-06-04 14:04:59.362280
15712,-248,2756,0,2019-06-04 14:04:59.467216
15776,496,1312,0,2019-06-04 14:04:59.570912
17920,776,1316,0,2019-06-04 14:04:59.674568
17120,848,28,0,2019-06-04 14:04:59.778259
17288,984,696,0,2019-06-04 14:04:59.881957
16896,540,996,0,2019-06-04 14:04:59.987651
32172,-3456,4732,0,2019-06-04 14:05:00.091402
-1136,7784,-24488,0,2019-06-04 14:05:00.195187
-24768,1668,7304,1000,2019-06-04 14:05:00.298918
-712,508,12596,1000,2019-06-04 14:05:00.402614
-7072,20,13800,1000,2019-06-04 14:05:00.506205
-8664,556,14852,1000,2019-06-04 14:05:00.609972
14716,-2008,4456,1000,2019-06-04 14:05:00.713665
22448,-316,-640,1000,2019-06-04 14:05:00.817465
20348,-1104,-1552,1000,2019-06-04 14:05:00.921188
18120,-412,-4724,1000,2019-06-04 14:05:01.024900
18068,456,-4108,1000,2019-06-04 14:05:01.128641
18532,-492,972,1000,2019-06-04 14:05:01.232340
19676,340,1580,1000,2019-06-04 14:05:01.336121
16252,96,576,1000,2019-06-04 14:05:01.439706
16404,-220,-1136,1000,2019-06-04 14:05:01.544355
17752,40,1352,1000,2019-06-04 14:05:01.648008
18656,-504,744,1000,2019-06-04 14:05:01.751679
16312,104,-624,1000,2019-06-04 14:05:01.856247
16260,284,-3140,1000,2019-06-04 14:05:01.959979
15776,-240,-1484,1000,2019-06-04 14:05:02.063663
18004,292,-856,1000,2019-06-04 14:05:02.168459
18624,80,-1488,1000,2019-06-04 14:05:02.273600
16452,228,-2012,1000,2019-06-04 14:05:02.378416
17228,-100,-1192,1000,2019-06-04 14:05:02.482195
17148,-160,-952,1000,2019-06-04 14:05:02.586113
16256,-308,-436,1000,2019-06-04 14:05:02.691495
17756,-88,-824,1000,2019-06-04 14:05:02.795262
16996,-276,104,1000,2019-06-04 14:05:02.898956
16976,-428,752,1000,2019-06-04 14:05:03.002693
17184,-700,1436,1000,2019-06-04 14:05:03.106370
16160,-516,-740,1000,2019-06-04 14:05:03.210084
16748,92,-2232,1000,2019-06-04 14:05:03.313852
16960,-636,20,1000,2019-06-04 14:05:03.417543
15932,-768,-164,1000,2019-06-04 14:05:03.521239
16484,-672,228,1000,2019-06-04 14:05:03.624998
17816,-456,-292,1000,2019-06-04 14:05:03.728812
16636,-628,-648,1000,2019-06-04 14:05:03.833449
15820,-304,-1516,1000,2019-06-04 14:05:03.938537
16528,-772,28,1000,2019-06-04 14:05:04.042203
16348,-596,168,1000,2019-06-04 14:05:04.146112
16652,-376,100,1000,2019-06-04 14:05:04.249780
15012,-296,-1096,1000,2019-06-04 14:05:04.353461
15920,-776,-672,1000,2019-06-04 14:05:04.457114
15052,-708,-336,1000,2019-06-04 14:05:04.560803
15404,-668,-368,0,2019-06-04 14:05:04.664576
17660,-536,-160,0,2019-06-04 14:05:04.768247
16900,-408,-332,0,2019-06-04 14:05:04.871884
17004,-252,-1148,0,2019-06-04 14:05:04.975691
17636,-424,-980,0,2019-06-04 14:05:05.079353
15496,-340,-2252,0,2019-06-04 14:05:05.183028
15964,-64,-2344,0,2019-06-04 14:05:05.286709
16224,-304,-1176,0,2019-06-04 14:05:05.390405
17100,-736,476,0,2019-06-04 14:05:05.494248
16556,-516,-464,0,2019-06-04 14:05:05.597965
17208,-208,-996,0,2019-06-04 14:05:05.702514
16280,-660,100,0,2019-06-04 14:05:05.806193
15976,-468,-176,0,2019-06-04 14:05:05.909846
17352,-628,556,0,2019-06-04 14:05:06.013507
16976,-140,-852,0,2019-06-04 14:05:06.117214
18588,-268,-100,0,2019-06-04 14:05:06.222491
18540,-508,420,0,2019-06-04 14:05:06.326169
16032,-492,-104,0,2019-06-04 14:05:06.430831
15800,-896,136,0,2019-06-04 14:05:06.534458
16296,-680,368,0,2019-06-04 14:05:06.638070
16604,-556,212,0,2019-06-04 14:05:06.741809
18068,-992,1864,0,2019-06-04 14:05:06.845661
18060,-656,952,0,2019-06-04 14:05:06.949373
17616,-348,0,0,2019-06-04 14:05:07.053100
15184,-124,-1616,0,2019-06-04 14:05:07.156877
15300,-368,-1060,0,2019-06-04 14:05:07.260588
18100,-368,-200,0,2019-06-04 14:05:07.364255
16352,-596,-628,0,2019-06-04 14:05:07.467872
14996,-616,-592,0,2019-06-04 14:05:07.572196
16000,-272,-1124,0,2019-06-04 14:05:07.675981
17176,-260,-56,0,2019-06-04 14:05:07.779667
16820,-716,580,0,2019-06-04 14:05:07.886143
16260,-1004,904,0,2019-06-04 14:05:07.989911
17144,-692,992,0,2019-06-04 14:05:08.093599
16600,-512,-888,0,2019-06-04 14:05:08.197320
17692,-432,104,0,2019-06-04 14:05:08.301119
18228,-284,-660,0,2019-06-04 14:05:08.404756
17288,-84,-712,0,2019-06-04 14:05:08.509563
17524,-372,284,0,2019-06-04 14:05:08.613270
15328,-288,-980,0,2019-06-04 14:05:08.717010
14480,-504,-1096,0,2019-06-04 14:05:08.822010
15888,-168,-1500,0,2019-06-04 14:05:08.926620
16216,-480,-692,0,2019-06-04 14:05:09.030248
16728,-620,920,0,2019-06-04 14:05:09.133961
16532,-408,684,0,2019-06-04 14:05:09.237565
16624,-348,-412,0,2019-06-04 14:05:09.341202
16540,-468,220,0,2019-06-04 14:05:09.446001
18008,-248,-192,0,2019-06-04 14:05:09.551085
17916,-336,688,0,2019-06-04 14:05:09.654613
15492,-88,-1240,0,2019-06-04 14:05:09.758398
17132,-516,-116,0,2019-06-04 14:05:09.862167
17044,-384,244,0,2019-06-04 14:05:09.966907
17312,-724,336,0,2019-06-04 14:05:10.070489
17984,-236,36,0,2019-06-04 14:05:10.175212
26028,-3232,-18848,0,2019-06-04 14:05:10.278901
-19720,3796,5668,0,2019-06-04 14:05:10.382568
-18640,2252,14708,0,2019-06-04 14:05:10.486184
-8836,984,17312,0,2019-06-04 14:05:10.589868
-5232,1416,13240,0,2019-06-04 14:05:10.693552
-2884,1432,16396,0,2019-06-04 14:05:10.797258
-5408,4240,14656,0,2019-06-04 14:05:10.900989
16356,-472,-9244,0,2019-06-04 14:05:11.004625
25948,288,-7504,1000,2019-06-04 14:05:11.108381
22732,-1040,-1900,1000,2019-06-04 14:05:11.212116
23380,200,788,1000,2019-06-04 14:05:11.317018
20384,828,-112,1000,2019-06-04 14:05:11.420697
19468,896,-640,1000,2019-06-04 14:05:11.524456
19428,708,-1192,1000,2019-06-04 14:05:11.628152
19400,48,1512,1000,2019-06-04 14:05:11.732751
16896,100,604,1000,2019-06-04 14:05:11.836556
16540,144,680,1000,2019-06-04 14:05:11.940257
17500,452,-16,1000,2019-06-04 14:05:12.043932
14640,312,-1016,1000,2019-06-04 14:05:12.148825
16064,-28,100,1000,2019-06-04 14:05:12.253585
17372,464,-300,1000,2019-06-04 14:05:12.357267
16140,344,-1052,1000,2019-06-04 14:05:12.461029
16328,564,-1692,1000,2019-06-04 14:05:12.566528
18420,148,1104,1000,2019-06-04 14:05:12.670115
18172,40,1044,1000,2019-06-04 14:05:12.773821
17736,-84,516,1000,2019-06-04 14:05:12.877493
16612,4,376,1000,2019-06-04 14:05:12.981168
15332,28,-1384,1000,2019-06-04 14:05:13.084834
15264,396,-1356,1000,2019-06-04 14:05:13.188466
16872,116,-524,1000,2019-06-04 14:05:13.292226
15888,108,148,1000,2019-06-04 14:05:13.396019
18688,-256,960,1000,2019-06-04 14:05:13.499734
16568,120,232,1000,2019-06-04 14:05:13.603374
16664,-212,1172,1000,2019-06-04 14:05:13.709666
16828,244,-416,1000,2019-06-04 14:05:13.813359
16816,-24,712,1000,2019-06-04 14:05:13.917007
17612,-16,468,1000,2019-06-04 14:05:14.020626
15352,132,-724,1000,2019-06-04 14:05:14.125386
16724,-124,336,1000,2019-06-04 14:05:14.229081
16232,-212,500,1000,2019-06-04 14:05:14.332791
16848,-152,872,1000,2019-06-04 14:05:14.436485
16360,208,-144,1000,2019-06-04 14:05:14.541161
17256,0,756,1000,2019-06-04 14:05:14.645010
15552,484,-452,1000,2019-06-04 14:05:14.748750
16160,292,-716,1000,2019-06-04 14:05:14.852503
16232,-24,756,1000,2019-06-04 14:05:14.957959
15336,436,-1168,1000,2019-06-04 14:05:15.062720
17644,228,600,1000,2019-06-04 14:05:15.167247
16264,236,-416,1000,2019-06-04 14:05:15.270865
17216,308,416,1000,2019-06-04 14:05:15.374553
16704,-312,332,0,2019-06-04 14:05:15.478241
16764,112,-68,0,2019-06-04 14:05:15.582917
18788,204,1468,0,2019-06-04 14:05:15.687405
15932,-464,592,0,2019-06-04 14:05:15.791158
15828,-188,-328,0,2019-06-04 14:05:15.894814
15032,72,436,0,2019-06-04 14:05:15.998489
16824,368,-1436,0,2019-06-04 14:05:16.103177
17288,624,-1140,0,2019-06-04 14:05:16.206857
18080,572,-484,0,2019-06-04 14:05:16.312150
16768,104,-16,0,2019-06-04 14:05:16.417030
16072,312,-912,0,2019-06-04 14:05:16.520787
16624,436,-776,0,2019-06-04 14:05:16.625562
16460,460,-1572,0,2019-06-04 14:05:16.729307
16196,268,-884,0,2019-06-04 14:05:16.834102
16720,508,276,0,2019-06-04 14:05:16.937697
17852,228,248,0,2019-06-04 14:05:17.042870
18612,472,132,0,2019-06-04 14:05:17.146595
18028,216,532,0,2019-06-04 14:05:17.250277
16268,256,248,0,2019-06-04 14:05:17.353875
17072,-36,1348,0,2019-06-04 14:05:17.457628
16568,184,1232,0,2019-06-04 14:05:17.561368
18132,308,696,0,2019-06-04 14:05:17.665113
15812,668,-692,0,2019-06-04 14:05:17.768851
16740,396,-280,0,2019-06-04 14:05:17.873518
17368,-68,2276,0,2019-06-04 14:05:17.977231
16420,108,428,0,2019-06-04 14:05:18.080966
16976,436,-720,0,2019-06-04 14:05:18.184678
18136,644,-1180,0,2019-06-04 14:05:18.288297
16612,676,-1952,0,2019-06-04 14:05:18.392020
16560,672,-2092,0,2019-06-04 14:05:18.495797
16860,544,-652,0,2019-06-04 14:05:18.599482
16532,588,-1180,0,2019-06-04 14:05:18.703172
16364,392,-100,0,2019-06-04 14:05:18.806830
15732,604,-676,0,2019-06-04 14:05:18.911250
16716,256,-284,0,2019-06-04 14:05:19.015964
16576,524,-1120,0,2019-06-04 14:05:19.119619
17320,492,-824,0,2019-06-04 14:05:19.223292
17180,284,188,0,2019-06-04 14:05:19.326940
17568,416,360,0,2019-06-04 14:05:19.430697
18292,120,1200,0,2019-06-04 14:05:19.534429
16492,132,640,0,2019-06-04 14:05:19.638035
17708,248,772,0,2019-06-04 14:05:19.741698
17388,404,816,0,2019-06-04 14:05:19.846422
16576,452,232,0,2019-06-04 14:05:19.950091
15620,480,-292,0,2019-06-04 14:05:20.053716
17052,156,920,0,2019-06-04 14:05:20.157397
16340,312,-24,0,2019-06-04 14:05:20.261069
16432,316,-420,0,2019-06-04 14:05:20.364725
16388,492,-1624,0,2019-06-04 14:05:20.468415
15960,272,36,0,2019-06-04 14:05:20.572966
16132,492,-412,0,2019-06-04 14:05:20.676678
14732,184,104,0,2019-06-04 14:05:20.780423
15552,560,-1532,0,2019-06-04 14:05:20.884105
17700,580,-500,0,2019-06-04 14:05:20.987772
17056,620,-900,0,2019-06-04 14:05:21.092488
16856,300,1276,0,2019-06-04 14:05:21.196279
17208,412,628,0,2019-06-04 14:05:21.299971
16696,268,1252,0,2019-06-04 14:05:21.403573
16880,580,-540,0,2019-06-04 14:05:21.507301
16628,404,-552,0,2019-06-04 14:05:21.612103
17328,572,620,0,2019-06-04 14:05:21.716816
18196,392,4,0,2019-06-04 14:05:21.820447
17716,436,492,0,2019-06-04 14:05:21.924145
17700,904,-592,0,2019-06-04 14:05:22.027864
16920,480,300,0,2019-06-04 14:05:22.131618
16760,596,-804,0,2019-06-04 14:05:22.236543
16760,24,380,0,2019-06-04 14:05:22.340129
16436,516,-336,0,2019-06-04 14:05:22.443791
16300,280,852,0,2019-06-04 14:05:22.548602
16968,480,132,0,2019-06-04 14:05:22.652293
15616,96,928,0,2019-06-04 14:05:22.756114
16900,352,608,0,2019-06-04 14:05:22.859895
18908,792,-848,0,2019-06-04 14:05:22.963648
17828,4,1220,0,2019-06-04 14:05:23.067370
17708,284,520,0,2019-06-04 14:05:23.170984
17372,688,-136,0,2019-06-04 14:05:23.274687
17496,368,172,0,2019-06-04 14:05:23.378351
15568,544,-392,0,2019-06-04 14:05:23.482146
17644,512,-152,0,2019-06-04 14:05:23.587301
17828,628,-204,0,2019-06-04 14:05:23.691049
18144,264,-340,0,2019-06-04 14:05:23.794734
15192,436,-676,0,2019-06-04 14:05:23.899372
16448,488,-612,0,2019-06-04 14:05:24.003002
15892,512,-1028,0,2019-06-04 14:05:24.106689
16868,424,-560,0,2019-06-04 14:05:24.210384
16720,860,-1400,0,2019-06-04 14:05:24.314153
15800,672,-632,0,2019-06-04 14:05:24.417818
15148,660,-1400,0,2019-06-04 14:05:24.522875
17768,648,-328,0,2019-06-04 14:05:24.626583
16288,116,1452,0,2019-06-04 14:05:24.730280
25204,-1744,-10684,0,2019-06-04 14:05:24.835775
24260,940,9816,0,2019-06-04 14:05:24.939494
-32536,6068,-3176,1000,2019-06-04 14:05:25.044284
-11196,3412,9800,1000,2019-06-04 14:05:25.147961
-3100,2532,17536,1000,2019-06-04 14:05:25.252612
-6264,2424,3292,1000,2019-06-04 14:05:25.357461
-20848,3848,17540,1000,2019-06-04 14:05:25.461161
2652,1640,8792,1000,2019-06-04 14:05:25.564863
3232,-2628,-3284,1000,2019-06-04 14:05:25.668592
17316,-1728,3676,1000,2019-06-04 14:05:25.772260
11548,-1344,-164,1000,2019-06-04 14:05:25.876013
15100,184,296,1000,2019-06-04 14:05:25.980485
15972,340,872,1000,2019-06-04 14:05:26.084133
15336,416,176,1000,2019-06-04 14:05:26.187753
12648,452,-480,1000,2019-06-04 14:05:26.291445
14400,448,12,1000,2019-06-04 14:05:26.395184
16232,344,1192,1000,2019-06-04 14:05:26.498893
16432,728,88,1000,2019-06-04 14:05:26.604078
16860,620,-516,1000,2019-06-04 14:05:26.708845
15568,664,-868,1000,2019-06-04 14:05:26.812593
16984,468,424,1000,2019-06-04 14:05:26.916268
17052,424,732,1000,2019-06-04 14:05:27.019854
16788,440,256,1000,2019-06-04 14:05:27.124473
16460,676,-400,1000,2019-06-04 14:05:27.228132
16328,-68,1688,1000,2019-06-04 14:05:27.331805
15568,216,1024,1000,2019-06-04 14:05:27.435558
15888,268,64,1000,2019-06-04 14:05:27.539334
16568,320,-248,1000,2019-06-04 14:05:27.643172
17656,608,-224,1000,2019-06-04 14:05:27.746874
17220,632,-128,1000,2019-06-04 14:05:27.850640
17864,604,424,1000,2019-06-04 14:05:27.954310
18092,372,1104,1000,2019-06-04 14:05:28.058042
18764,204,1428,1000,2019-06-04 14:05:28.161712
18616,48,3036,1000,2019-06-04 14:05:28.265532
17856,200,1172,1000,2019-06-04 14:05:28.369168
17568,216,1072,1000,2019-06-04 14:05:28.472843
15436,92,668,1000,2019-06-04 14:05:28.576536
15832,548,-700,1000,2019-06-04 14:05:28.681297
17264,208,1224,1000,2019-06-04 14:05:28.785021
17072,396,248,1000,2019-06-04 14:05:28.888687
16452,516,-856,1000,2019-06-04 14:05:28.992493
15724,900,-1268,1000,2019-06-04 14:05:29.096343
18376,420,-52,1000,2019-06-04 14:05:29.200051
18032,388,-352,1000,2019-06-04 14:05:29.303735
17536,676,-404,1000,2019-06-04 14:05:29.408510
16372,276,220,1000,2019-06-04 14:05:29.513164
16836,600,-292,1000,2019-06-04 14:05:29.616857
17020,376,148,1000,2019-06-04 14:05:29.721414
17688,392,1016,1000,2019-06-04 14:05:29.825148
17124,268,-512,1000,2019-06-04 14:05:29.928860
16492,460,-532,1000,2019-06-04 14:05:30.032589
16664,564,-668,1000,2019-06-04 14:05:30.136221
17908,360,2352,1000,2019-06-04 14:05:30.239981
16976,-220,1368,1000,2019-06-04 14:05:30.345326
16672,160,1140,0,2019-06-04 14:05:30.449952
15788,264,4,0,2019-06-04 14:05:30.553577
18132,208,1380,0,2019-06-04 14:05:30.658161
15864,480,-528,0,2019-06-04 14:05:30.762902
17708,288,452,0,2019-06-04 14:05:30.868317
17792,236,364,0,2019-06-04 14:05:30.971986
14236,396,-1760,0,2019-06-04 14:05:31.075798
16060,168,20,0,2019-06-04 14:05:31.179495
18160,52,1652,0,2019-06-04 14:05:31.283189
15348,228,-236,0,2019-06-04 14:05:31.386808
15448,416,-424,0,2019-06-04 14:05:31.490494
15376,576,-1412,0,2019-06-04 14:05:31.596000
16068,260,-84,0,2019-06-04 14:05:31.700554
16408,472,-204,0,2019-06-04 14:05:31.805120
17276,272,-224,0,2019-06-04 14:05:31.908827
18588,636,-612,0,2019-06-04 14:05:32.012533
16832,372,492,0,2019-06-04 14:05:32.116187
17180,324,628,0,2019-06-04 14:05:32.219797
16600,388,432,0,2019-06-04 14:05:32.323471
16680,436,-400,0,2019-06-04 14:05:32.427164
17280,120,1620,0,2019-06-04 14:05:32.530866
16452,252,-1220,0,2019-06-04 14:05:32.634572
16604,652,-308,0,2019-06-04 14:05:32.740088
15304,264,4,0,2019-06-04 14:05:32.844819
14412,1572,-4260,0,2019-06-04 14:05:32.949566
15876,800,1004,0,2019-06-04 14:05:33.053146
11452,-5932,-6684,0,2019-06-04 14:05:33.156836
16968,2484,84,0,2019-06-04 14:05:33.261463
19124,2224,1284,0,2019-06-04 14:05:33.365148
19896,2448,1144,0,2019-06-04 14:05:33.468732
15132,1328,2512,0,2019-06-04 14:05:33.572396
25720,5824,10876,0,2019-06-04 14:05:33.676201
15892,1832,1704,0,2019-06-04 14:05:33.779874
16676,436,2764,0,2019-06-04 14:05:33.883545
20768,1012,2012,0,2019-06-04 14:05:33.987194
16844,-408,-2564,0,2019-06-04 14:05:34.090887
13532,2156,-4040,0,2019-06-04 14:05:34.194679
16608,1624,1116,0,2019-06-04 14:05:34.299884
16400,-144,-520,0,2019-06-04 14:05:34.403487
16788,-84,-456,0,2019-06-04 14:05:34.507131
16828,-76,-308,0,2019-06-04 14:05:34.611677
16748,-128,-564,0,2019-06-04 14:05:34.715482
16732,-72,-576,0,2019-06-04 14:05:34.819838
16736,32,-496,0,2019-06-04 14:05:34.925087
16784,-44,-652,0,2019-06-04 14:05:35.028780
16696,-44,-364,0,2019-06-04 14:05:35.141684
16752,16,-352,0,2019-06-04 14:05:35.250133
16740,-68,-556,0,2019-06-04 14:05:35.354507
16812,-80,-680,0,2019-06-04 14:05:35.458296
16708,-152,-448,0,2019-06-04 14:05:35.565077
16732,-96,-592,0,2019-06-04 14:05:35.669216
16676,-100,-504,0,2019-06-04 14:05:35.773365
16752,-84,-748,0,2019-06-04 14:05:35.877003
16784,-52,-496,0,2019-06-04 14:05:35.980634
16832,-36,-496,0,2019-06-04 14:05:36.084298
16884,-64,-336,0,2019-06-04 14:05:36.187988
16704,-52,-520,0,2019-06-04 14:05:36.291616
16748,-80,-632,0,2019-06-04 14:05:36.395236
16800,-80,-752,0,2019-06-04 14:05:36.498932
16704,-68,-636,0,2019-06-04 14:05:36.602582
16680,-68,-428,0,2019-06-04 14:05:36.707041
16668,-124,-308,0,2019-06-04 14:05:36.810661
16756,-60,-640,0,2019-06-04 14:05:36.914313
16796,-84,-496,0,2019-06-04 14:05:37.017958
16820,-48,-544,0,2019-06-04 14:05:37.121665
16820,-152,-464,0,2019-06-04 14:05:37.225480
16748,-56,-740,0,2019-06-04 14:05:37.330233
16772,-148,-456,0,2019-06-04 14:05:37.434018
16692,-80,-568,0,2019-06-04 14:05:37.537812
16608,-148,-504,0,2019-06-04 14:05:37.641626
16728,-60,-544,0,2019-06-04 14:05:37.745442
16748,-88,-476,0,2019-06-04 14:05:37.850720
16788,116,-508,0,2019-06-04 14:05:37.955269
16716,-88,-436,0,2019-06-04 14:05:38.059072
16724,-120,-740,0,2019-06-04 14:05:38.163705
